pair_id,cmi_score,cmi_legacy_recomputed,cmi_v2_exclude,cmi_v2_hindi,cmi_v2_english
P00968,0.3709677419354839,0.3709677419354839,40.38461538461539,40.38461538461539,40.38461538461539
P00861,0.5119047619047619,0.5119047619047619,26.315789473684216,26.315789473684216,26.315789473684216
P00259,0.4104477611940298,0.41044776119402987,24.10714285714286,24.10714285714286,24.10714285714286
P00167,0.3922651933701657,0.39226519337016574,43.42105263157895,42.85714285714286,44.15584415584416
P01217,0.4406779661016949,0.4406779661016949,20.952380952380956,20.952380952380956,20.952380952380956
P02615,0.4523809523809524,0.4523809523809524,28.859060402684566,28.47682119205298,29.801324503311257
P02317,0.3502304147465437,0.35023041474654376,26.55367231638418,26.55367231638418,26.55367231638418
P00843,0.4545454545454545,0.45454545454545453,21.68674698795181,21.42857142857143,22.619047619047617
P00093,0.4174311926605504,0.41743119266055045,19.786096256684495,19.786096256684495,19.786096256684495
P00740,0.4942528735632184,0.4942528735632184,25.92592592592593,25.92592592592593,25.92592592592593
P00282,0.3571428571428571,0.35714285714285715,40.38461538461539,40.38461538461539,40.38461538461539
P01784,0.4385964912280701,0.43859649122807015,41.81818181818182,41.07142857142857,42.85714285714286
P01059,0.3978494623655914,0.3978494623655914,38.46153846153846,38.46153846153846,38.46153846153846
P01127,0.3541666666666667,0.3541666666666667,42.85714285714286,42.85714285714286,42.85714285714286
P00685,0.0,0.0,0.0,0.0,0.0
P01868,0.4528301886792453,0.4528301886792453,25.0,25.0,25.0
P00409,0.421875,0.421875,37.704918032786885,37.704918032786885,37.704918032786885
P00497,0.3255813953488372,0.32558139534883723,41.77215189873418,41.77215189873418,41.77215189873418
P02777,0.4878048780487805,0.4878048780487805,16.981132075471695,16.981132075471695,16.981132075471695
P00983,0.4444444444444444,0.4444444444444444,33.333333333333336,33.333333333333336,33.333333333333336
P01882,0.4933333333333333,0.49333333333333335,30.76923076923077,30.303030303030297,31.818181818181824
P01174,0.3043478260869565,0.30434782608695654,48.4375,48.4375,48.4375
P00201,0.4859813084112149,0.48598130841121495,14.444444444444448,14.444444444444448,14.444444444444448
P00507,0.4225352112676056,0.4225352112676056,26.77165354330708,26.77165354330708,26.77165354330708
P01621,0.4914285714285714,0.49142857142857144,26.582278481012654,26.582278481012654,26.582278481012654
P01309,0.3818181818181818,0.38181818181818183,43.269230769230774,42.85714285714286,43.80952380952381
P02409,0.5196078431372549,0.5196078431372549,26.881720430107524,26.881720430107524,26.881720430107524
P00296,0.4504504504504504,0.45045045045045046,28.846153846153843,28.846153846153843,28.846153846153843
P02094,0.375,0.375,31.666666666666664,31.147540983606557,32.786885245901644
P00881,0.3211009174311927,0.3211009174311927,34.93975903614458,33.720930232558146,37.2093023255814
P01837,0.4666666666666667,0.4666666666666667,27.500000000000004,27.500000000000004,27.500000000000004
P02679,0.4528301886792453,0.4528301886792453,26.80412371134021,26.80412371134021,26.80412371134021
P00154,0.4868421052631579,0.4868421052631579,28.985507246376805,28.985507246376805,28.985507246376805
P02902,0.4864864864864865,0.4864864864864865,36.76470588235294,36.76470588235294,36.76470588235294
P01202,0.345679012345679,0.345679012345679,46.05263157894737,46.05263157894737,46.05263157894737
P01110,0.4050632911392405,0.4050632911392405,41.666666666666664,40.54054054054054,43.24324324324324
P02591,0.4438502673796791,0.44385026737967914,24.840764331210185,24.840764331210185,24.840764331210185
P01900,0.4774774774774775,0.4774774774774775,30.6930693069307,30.6930693069307,30.6930693069307
P02143,0.303030303030303,0.30303030303030304,46.875,46.875,46.875
P02966,0.3893129770992366,0.3893129770992366,49.6,49.6,49.6
P00367,0.4962962962962963,0.4962962962962963,22.13114754098361,22.13114754098361,22.13114754098361
P02550,0.4039735099337748,0.40397350993377484,25.0,25.0,25.0
P00811,0.5,0.5,40.0,40.0,40.0
P02267,0.4285714285714285,0.42857142857142855,23.684210526315784,23.684210526315784,23.684210526315784
P02975,0.4666666666666667,0.4666666666666667,37.2093023255814,37.2093023255814,37.2093023255814
P01241,0.4068965517241379,0.4068965517241379,29.059829059829056,29.059829059829056,29.059829059829056
P01045,0.3728813559322034,0.3728813559322034,24.07407407407407,24.07407407407407,24.07407407407407
P02366,0.5,0.5,18.39080459770115,18.39080459770115,18.39080459770115
P00468,0.2878787878787879,0.2878787878787879,49.09090909090909,49.09090909090909,49.09090909090909
P02682,0.5714285714285714,0.5714285714285714,27.77777777777778,27.77777777777778,27.77777777777778
P00574,0.3978494623655914,0.3978494623655914,34.72222222222222,34.72222222222222,34.72222222222222
P02422,0.46875,0.46875,29.032258064516125,29.032258064516125,29.032258064516125
P02706,0.4268292682926829,0.4268292682926829,33.333333333333336,33.333333333333336,33.333333333333336
P00885,0.4761904761904761,0.47619047619047616,13.684210526315788,13.131313131313128,17.17171717171717
P00996,0.4,0.4,47.76119402985075,47.76119402985075,47.76119402985075
P01060,0.4098360655737705,0.4098360655737705,30.188679245283023,30.188679245283023,30.188679245283023
P00796,0.3773584905660377,0.37735849056603776,36.80555555555556,36.80555555555556,36.80555555555556
P02073,0.3884297520661157,0.3884297520661157,37.61467889908256,37.61467889908256,37.61467889908256
P00681,0.4615384615384615,0.46153846153846156,21.52777777777778,21.52777777777778,21.52777777777778
P02754,0.42,0.42,33.333333333333336,32.55813953488372,34.883720930232556
P02738,0.25,0.25,46.0,46.0,46.0
P01159,0.4077669902912621,0.4077669902912621,34.05405405405405,33.87096774193549,34.40860215053764
P01641,0.4556962025316455,0.45569620253164556,30.434782608695656,30.434782608695656,30.434782608695656
P02854,0.4054054054054054,0.40540540540540543,37.31343283582089,37.31343283582089,37.31343283582089
P01907,0.4939759036144578,0.4939759036144578,23.943661971830988,23.943661971830988,23.943661971830988
P00929,0.3209876543209876,0.32098765432098764,39.0625,39.0625,39.0625
P01684,0.3793103448275862,0.3793103448275862,31.25,31.25,31.25
P02231,0.3636363636363636,0.36363636363636365,31.372549019607842,31.372549019607842,31.372549019607842
P00150,0.2985074626865671,0.29850746268656714,45.16129032258065,45.16129032258065,45.16129032258065
P00738,0.380281690140845,0.38028169014084506,38.983050847457626,38.33333333333333,40.0
P00090,0.5116279069767442,0.5116279069767442,22.499999999999996,22.499999999999996,22.499999999999996
